probabilities,true_labels
0.82991505,1.0
0.64988077,0.0
0.3437099,1.0
0.13274789,0.0
0.10867621,0.0
0.4898828,1.0
0.41397393,0.0
0.44461584,0.0
0.3654521,1.0
0.029153738,0.0
0.66491663,1.0
0.12398544,0.0
0.46130687,1.0
0.49321312,1.0
0.5635644,1.0
0.026949594,0.0
0.22636732,0.0
0.029453902,0.0
0.14799191,0.0
0.6349218,0.0
0.51296693,1.0
0.12238589,0.0
0.060348254,0.0
0.67592055,1.0
0.7196106,0.0
0.08351408,0.0
0.10457065,0.0
0.9398173,1.0
0.69729185,0.0
0.08062936,0.0
0.19124314,0.0
0.13353463,0.0
0.7977751,1.0
0.11267366,0.0
0.4806661,0.0
0.4715507,0.0
0.031903375,0.0
0.14223792,0.0
0.28598994,0.0
0.26981977,0.0
0.43886006,0.0
0.4966739,0.0
0.24119112,0.0
0.43393844,0.0
0.16210729,0.0
0.9075117,1.0
0.32259372,0.0
0.44787723,0.0
0.8421827,1.0
0.81087106,0.0
0.84325147,1.0
0.35095096,0.0
0.13331959,0.0
0.05860468,0.0
0.83374023,1.0
0.05988779,0.0
0.71763784,1.0
0.2262499,0.0
0.10698333,0.0
0.609397,0.0
0.07808764,0.0
0.037354156,0.0
0.5209335,1.0
0.07138806,0.0
0.3299181,0.0
0.33836624,0.0
0.26133662,0.0
0.5766514,1.0
0.77047265,0.0
0.22905338,1.0
0.026005395,0.0
0.44139144,0.0
0.68846303,1.0
0.09607432,0.0
0.24894346,0.0
0.5380583,0.0
0.37447065,0.0
0.62388855,1.0
0.024219362,0.0
0.07276256,0.0
0.45310664,0.0
0.84999067,0.0
0.031619344,0.0
0.031318687,0.0
0.10887075,0.0
0.8451858,1.0
0.074994124,0.0
0.8748993,1.0
0.81549764,0.0
0.71970993,1.0
0.62319225,1.0
0.24384655,0.0
0.8184587,0.0
0.39745918,1.0
0.6454982,0.0
0.1791532,0.0
0.6563322,0.0
0.22545438,0.0
0.49463236,1.0
0.036474105,0.0
0.07087798,0.0
0.21837904,0.0
0.33748493,0.0
0.71918607,1.0
0.05986659,0.0
0.89170444,0.0
0.8090676,1.0
0.84328,1.0
0.7994189,0.0
0.270193,1.0
0.7328553,0.0
0.6990779,0.0
0.11234201,0.0
0.6987587,0.0
0.05773353,0.0
0.04950909,0.0
0.1769827,0.0
0.4167149,0.0
0.66168034,0.0
0.20396282,0.0
0.8268023,1.0
0.10532585,0.0
0.28884423,0.0
0.20288551,0.0
0.8184298,1.0
0.091514744,0.0
0.5803715,0.0
0.804285,0.0
0.14983428,0.0
0.31143418,0.0
0.09000983,0.0
0.4997914,1.0
0.7640196,1.0
0.77206284,0.0
0.042974588,0.0
0.27987802,0.0
0.30430984,1.0
0.808508,1.0
0.7963123,1.0
0.06588237,0.0
0.04708835,0.0
0.6768275,1.0
0.056539603,0.0
0.27739903,0.0
0.18539606,0.0
0.20516108,1.0
0.36300063,0.0
0.45207608,1.0
0.118978344,0.0
0.5005164,0.0
0.50995433,0.0
0.19049728,0.0
0.1545253,0.0
0.29023606,0.0
0.7306885,1.0
0.103938945,0.0
0.61858356,0.0
0.82203746,1.0
0.07000625,0.0
0.18033695,0.0
0.040480964,0.0
0.858399,1.0
0.7173166,1.0
0.17413191,0.0
0.16649304,1.0
0.34300292,0.0
0.72587377,1.0
0.700128,0.0
